Name,Price,Market Cap,24H Vol,24H %,7D %,30D %,ATH,% ATH
Volt Inu V2 VOLT,0.00000,86177640,16694720,-6.27,109.26,,0.01329,-99.0
Centrality CENNZ,0.12360,148319335,2736513,5.58,8.27,-7.38,7.18140,-98.0
XYO XYO,0.00672,86303460,1679184,-5.75,4.24,28.56,0.08087,-92.0
renBTC RENBTC,23944.89,85715499,35560,-1.46,-4.08,26.69,68677.17,-65.0
Venus XVS,5.86181,85721153,5129339,-0.64,6.03,37.24,373.524,-98.0
Phala.Network PHA,0.18715,84858602,15204753,-2.63,13.29,51.48,1.22348,-85.0
Persistence XPRT,0.57206,84608678,446725,-4.63,-10.71,18.61,0.67666,-16.0
Metars Genesis MRS,1.32836,83379817,292141,5.95,-6.86,21.47,3.07862,-58.0
Alchemy Pay ACH,0.01641,83419228,23711753,-6.37,9.06,100.35,0.12633,-87.0
Function X FX,0.20279,82843050,1218836,-8.0,1.49,22.01,2.29196,-91.0
ABBC Coin ABBC,0.07651,82609419,14276286,-1.22,-1.44,-18.68,1.71212,-96.0
MyNeighborAlice ALICE,1.98739,82413305,58890599,-7.09,4.24,66.45,28.5439,-93.0
MiL.k MLK,0.31281,82336781,7379577,-3.08,8.65,34.81,2.25430,-86.0
Biswap BSW,0.21986,82013942,7441732,-2.01,2.68,18.4,2.23341,-90.0
RadioCaca RACA,0.00025,81396519,8011087,-3.29,7.59,36.53,0.01193,-98.0
VeThor Token VTHO,0.00135,79379210,2817287,4.83,12.81,26.9,0.04214,-97.0
Covalent CQT,0.16064,79654582,2090753,-13.76,19.19,54.28,0.23452,-31.0
RSK Smart Bitcoin RBTC,22768.68,79700394,30412,-1.17,-4.4,30.58,79227.64,-71.0
RSS3 RSS3,0.22693,79472229,10295150,-10.62,0.18,107.79,0.32791,-31.0
MXC MXC,0.02983,78815311,2353195,-3.7,-7.45,-5.3,0.13431,-78.0
Decentralized Social DESO,8.84405,78575293,651905,-5.63,-18.63,23.15,160.762,-95.0
Mines of Dalarnia DAR,0.25142,78062602,92007684,1.13,-7.91,90.55,4.83611,-95.0
FUNToken FUN,0.00707,77454063,1615159,-1.15,-2.66,12.29,0.33785,-98.0
Reef REEF,0.00354,75935050,27458083,-2.13,3.63,38.59,0.05846,-94.0
Alien Worlds TLM,0.02256,75832917,14720808,-4.91,-0.82,65.81,0.56694,-96.0
Pirate Chain ARRR,0.38591,75392948,96264,-3.27,-9.94,7.35,16.8673,-98.0
NEST Protocol NEST,0.02585,75256720,3575382,-3.65,3.6,14.78,0.03906,-35.0
Shentu CTK,0.84382,74654074,4741624,-1.87,-0.25,10.75,4.04299,-79.0
Bancor BNT,0.46769,74514366,10545867,-2.86,4.44,29.52,10.6555,-96.0
Origin Protocol OGN,0.14579,74164759,24269210,-0.66,8.53,42.28,3.34278,-96.0
Bloktopia BLOK,0.00416,73033496,4976501,8.07,25.13,102.93,0.17529,-98.0
QuarkChain QKC,0.01143,73149178,30165226,-2.8,8.41,38.26,0.34159,-97.0
Constellation DAG,0.05727,72556106,2190977,-2.15,10.81,19.55,0.45508,-87.0
Metal MTL,1.08934,72538212,23633616,-1.81,11.17,45.52,14.8229,-93.0
WazirX WRX,0.18771,71676555,1536421,-2.32,-6.12,8.36,2.43039,-92.0
WhiteCoin XWC,0.09374,71577280,700339,1.34,-9.33,36.58,5.97644,-99.0
Veritaseum VERI,32.7100,70314922,23954,3.79,-3.29,13.68,538.974,-94.0
Orbit Chain ORC,0.11103,70106537,657488,-1.2,-2.47,26.08,1.00359,-89.0
World Mobile Token WMT,0.19845,69719565,578930,-3.05,3.59,-2.45,0.25220,-23.0
Decimal DEL,0.02624,69730434,479361,-2.28,-4.71,0.26,0.79290,-97.0
inSure SURE,0.00258,69125326,1964083,-1.84,-0.26,24.84,0.08640,-97.0
Dusk Network DUSK,0.16485,68224644,10029260,-2.63,-4.43,79.23,1.14833,-86.0
Orchid OXT,0.09944,68684517,3824508,-0.49,-1.33,37.8,0.98312,-90.0
Sologenic SOLO,0.17070,68270756,639532,-1.16,4.03,9.62,6.64556,-97.0
Uquid Coin UQC,6.80906,68090605,3332681,-1.63,-3.99,,0.00081,-1.0
Concordium CCD,0.01107,67373986,654178,-9.55,-27.55,,0.01560,-29.0
Ampleforth Governance Token FORTH,4.41836,66809101,19991530,4.17,25.94,46.63,35.7390,-88.0
Akash Network AKT,0.58241,66313577,3081092,16.75,49.16,171.82,10.3499,-94.0
StormX STMX,0.00659,65893727,37281464,-7.49,9.3,58.94,0.05598,-88.0
Beta Finance BETA,0.10167,65777104,6046517,-3.59,-0.74,36.07,0.76466,-87.0
HI HI,0.02221,64385691,561552,-5.08,-7.53,-13.18,1.46625,-98.0
DODO DODO,0.14811,64451097,18146471,-8.76,3.74,45.06,3.43140,-96.0
Efinity Token EFI,0.10351,63127431,1811890,-3.97,13.26,38.97,2.34453,-96.0
AXEL AXEL,0.22143,62687659,15891,-1.5,3.57,26.32,1.69686,-87.0
RichQUACK.com QUACK,0.00000,62682657,2373469,-0.99,-0.71,10.63,0.00000,-94.0
cVault.finance CORE,6259.23,62592299,1361006,14.4,-2.03,2.53,19385.46,-66.0
Coin98 C98,0.28770,62414000,34849501,-3.92,5.44,61.59,6.41537,-96.0
Velas VLX,0.02603,62668257,1338138,-6.17,-11.83,16.7,0.54748,-95.0
Rakon RKN,0.25504,61937700,98679,-1.53,-2.65,-0.6,0.78133,-67.0
Gas GAS,5.99669,60736685,398883922,124.66,134.83,74.53,97.4930,-93.0
MaidSafeCoin MAID,0.13482,61011354,6176,-5.2,-0.7,34.7,1.37432,-90.0
Liquity LQTY,0.67235,60961862,478898,-4.22,-5.5,11.24,16.1735,-96.0
Ark ARK,0.36162,61393830,8703849,1.89,11.45,32.62,10.9150,-97.0
Aergo AERGO,0.14124,60731984,10285604,-3.34,-0.53,43.65,0.63938,-78.0
Loom Network LOOM,0.05442,60811850,15111942,-1.27,1.85,15.17,0.77445,-93.0
PlatON LAT,0.01759,60887073,1732848,0.96,43.5,61.58,0.34931,-95.0
Badger DAO BADGER,3.17983,60286081,5657043,-1.6,0.45,36.25,44.7164,-93.0
Yield Guild Games YGG,0.31411,60193672,33369196,-6.11,-3.63,56.9,11.2815,-97.0
Vega Protocol VEGA,1.45720,60074001,714889,-1.41,5.15,52.1,1.66593,-13.0
Moonriver MOVR,9.64489,59809410,15449531,-0.52,8.66,44.03,493.714,-98.0
Dero DERO,4.47956,59462914,189577,-3.96,-7.09,12.84,27.2839,-84.0
RSK Infrastructure Framework RIF,0.06239,59065554,955805,-4.57,3.61,32.79,0.63352,-90.0
Cortex CTXC,0.28241,58711399,22797242,-6.72,21.47,35.89,2.41020,-88.0
Venus BUSD vBUSD,0.02187,58925871,5758,0.01,0.06,,,
Wrapped Velas WVLX,0.02583,58873078,14835,-7.86,-12.14,,,
SOMESING SSX,0.02135,58340779,4560590,-1.72,20.93,41.82,0.14968,-86.0
SUN SUN,0.00631,57656955,8912594,-2.12,2.59,20.22,54.0889,-100.0
SuperFarm SUPER,0.14286,57691383,4319623,-1.23,6.95,58.66,2.16516,-93.0
Dawn Protocol DAWN,0.77180,57471468,3398626,-0.88,6.55,,0.00096,-6.0
MovieBloc MBL,0.00368,57383376,14823416,-5.92,10.39,45.78,0.04511,-92.0
Metadium META,0.03388,57172082,3889569,-3.02,9.62,48.46,117.259,-100.0
MARBLEX MBX,1.57569,56869483,1245117,7.8,2.79,-10.84,0.04870,-100.0
Gods Unchained GODS,0.28825,56899257,12472431,-6.71,-2.89,28.19,0.36656,-21.0
sUSD SUSD,1.00097,56446478,17257342,0.35,-0.12,-0.21,86931.31,-100.0
UTRUST UTK,0.11250,56248110,35440854,-7.5,10.81,33.03,1.41806,-92.0
Tokocrypto TKO,0.34369,55183694,7825111,-3.84,-7.83,29.37,3.42938,-90.0
Revain REV,0.00064,54785297,317945,-7.22,-6.79,,,
Automata Network ATA,0.16392,54539099,11348613,-7.93,5.11,65.74,1.98869,-92.0
Vai VAI,0.94689,54445038,420070,-3.3,-3.55,0.23,1.39398,-30.0
Strike STRK,16.0124,57225974,29177519,7.7,21.59,24.71,75.8286,-79.0
Verge XVG,0.00327,54001900,1211304,-0.36,2.82,17.53,0.30059,-99.0
Hifi Finance MFT,0.00531,53129891,623070,-0.88,5.03,12.36,0.03584,-81.0
Rally RLY,0.01141,53174411,2038224,-4.75,-10.37,36.22,0.84289,-99.0
Krypton DAO KRD,0.52852,54150403,5390,0.01,-1.49,-0.08,2.66644,-81.0
Sweat Economy SWEAT,0.01364,52862547,5623413,-5.46,-17.78,,0.01697,-20.0
Opulous OPUL,0.23008,52335636,4743358,-18.02,51.43,398.52,0.86061,-73.0
ARPA Chain ARPA,0.04200,52204543,14423935,-3.89,10.08,45.57,0.27093,-84.0
Wilder World WILD,0.52949,52396956,4906434,0.52,22.4,103.06,8.12963,-94.0
Terra Virtua Kolect TVK,0.05448,52068840,21603845,-6.69,9.54,64.19,0.06600,-19.0
Enzyme MLN,25.3529,51682435,1127718,-0.79,1.73,25.35,270.045,-91.0
